Issue GitHub,ID,BLOQUEIA,PRODUTO,Features/Ações,Trimestre,Previsão de Entrega,Responsavel,Status,CATEGORIA,Observações,Prioridade,Domínio,Sub-domínio,Módulo,Sprint
,,,"PORTAL FAPES - ADMIN, PORTAL FAPES - COORDENADOR",Segurança Cookies,JANEIRO - MARÇO,Fevereiro,Vinicus,Entregue,MELHORIA,,,1 — Corporativo e Administrativo,1.1 Acesso e Segurança (IAM),M007,Q1
,,,CONECTA FAPES,Refatoração do Portal Conecta,JANEIRO - MARÇO,Março,Marcela,Entregue,MELHORIA,,,1 — Corporativo e Administrativo,1.1 Acesso e Segurança (IAM),M005,Q1
,,,CONECTA FAPES,Estudo de Acessibilidade Digital EMAG,JANEIRO - MARÇO,Fevereiro,Marcela,Validação,MELHORIA,"Atender Acessibilidade: https://emag.governoeletronico.gov.br/, Colocar critério de aceitação. Testar no Light House. Testar com o aluno cego.",,6 — Suporte e Inteligência,6.2 Transparência e Auditoria,—,Q1
,,,CONECTA FAPES,Notificação automatica,JANEIRO - MARÇO,Fevereiro,Manoel,Homol,OPORTUNIDADE,"Notificação. Criou o banco em Homol no prodest. Funcionou em Dev. Subindo para PROD. Evolutivo, enviar anexo. Possibilidade de enviar imposto de renda.",,6 — Suporte e Inteligência,6.3 Comunicação,—,Q1
,,,CONECTA FAPES,Pagamento avançado do UNAC,JANEIRO - MARÇO,Fevereiro,Marcela,Homol,OPORTUNIDADE,,,5 — Financeiro,5.3 Pagamentos,M004,Q1
,,,PORTAL FAPES - COORDENADOR,Adicionar pelo menos 500 pessoas usando o portal,JANEIRO - MARÇO → ABRIL - JUNHO,Maio,Arthur,Transferido,FUNCIONALIDADE,[Transferido do Q1] Realizar teste de carga com pelo menos 500 pessoas de teste para o Portal,,1 — Corporativo e Administrativo,1.1 Acesso e Segurança (IAM),M005,SPRINT-003
,,,PORTAL FAPES - COORDENADOR,Realizar Teste de Carga,JANEIRO - MARÇO → ABRIL - JUNHO,Maio,Marcela,Transferido,TESTE,[Transferido do Q1] Realizar teste de carga e segurança no portal,,1 — Corporativo e Administrativo,1.1 Acesso e Segurança (IAM),M007,SPRINT-003
,,,PORTAL FAPES - COORDENADOR,Criar equipe e processo de suporte,JANEIRO - MARÇO → ABRIL - JUNHO,Junho,João,Transferido,TESTE,[Transferido do Q1] Criar processo e equipe para dar suporte aos usuários finais do portal,,6 — Suporte e Inteligência,6.3 Comunicação,—,SPRINT-006
,,,CONECTA FAPES,"Prestação de Contas (V1) para Produto, Serviços e Diárias. Portal do Coordenador",JANEIRO - MARÇO,Fevereiro,Leticia,Em desenvolvimento,FUNCIONALIDADE,"Colar para usuários testes a prestação de contas de serviço, Produto e Diárias. Faltou a parte Diárias, passagens e invoices.",,4 — Fomento Post-Award,4.4 Prestação de Contas,—,Q1
,,,VALIDA,Finalizar a documentação para buscar a API de Nada Consta,JANEIRO - MARÇO → ABRIL - JUNHO,Abril,Paulo,Transferido,MELHORIA,[Transferido do Q1] Finalizar a documentação de Nada Consta Federal,,5 — Financeiro,5.4 PLD (KYC),—,SPRINT-001
,,,VALIDA,"Integração ao Conecta Fapes, com a API de nada Consta",JANEIRO - MARÇO → ABRIL - JUNHO,Maio,Paulo,Transferido,MELHORIA,[Transferido do Q1] Atualizar o Valida com a nova API de nada consta federal,,5 — Financeiro,5.4 PLD (KYC),—,SPRINT-002
,,,VALIDA,Integração do módulo de validação de prestação de contas com o conecta,JANEIRO - MARÇO,Março,Caio,Em validação,MELHORIA,Integrar e testar com usuários pilotos o novo módulo de validação de documentos para prestação de contas ao conecta,,4 — Fomento Post-Award,4.4 Prestação de Contas,—,Q1
,,,CONECTA FAPES,Produtação do Capitação de Projetos,JANEIRO - MARÇO,Março,Leticia,Em Andamento,FUNCIONALIDADE,,,4 — Fomento Post-Award,4.0 Gestão de Iniciativas Captadas,M003,Q1
,,,PORTAL FAPES - ADMIN,Gestão de Aditivos — alteração de valores prazos escopo e substituição de coordenação,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Admin — Eduardo,,4 — Fomento Post-Award,4.3 Gestão Orçamentária do Projeto,—,SPRINT-001
,,,PORTAL FAPES - ADMIN,Gestão Financeira — compensação estorno e pagamento retroativo,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Admin — Eduardo,,5 — Financeiro,5.3 Pagamentos,M004,SPRINT-004
,,,PORTAL FAPES - ADMIN,Reajuste de Bolsas — atualização e correção de valores no sistema,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Admin — Eduardo,,5 — Financeiro,5.3 Pagamentos,M004,SPRINT-004
,,,PORTAL FAPES - ADMIN,Ajuste Visualizar Pendências — exibir apenas solicitações do Conecta,ABRIL - JUNHO,Junho,Eduardo,Planejado,MELHORIA,Área Admin — Eduardo,,4 — Fomento Post-Award,4.5 Gestão de Bolsistas de Equipe,M009,SPRINT-002
,,,PORTAL FAPES - ADMIN,Permissão para terceirizado — validar documentação sem permissão de implantação,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Admin — Eduardo. Terceirizado só valida mas não implanta bolsa.,,1 — Corporativo e Administrativo,1.1 Acesso e Segurança (IAM),M006,SPRINT-001
,,,PORTAL FAPES - ADMIN,Cronograma de Expansão UNAC — adesão dos novos projetos do ciclo de Maio,ABRIL - JUNHO,Junho,,Planejado,FUNCIONALIDADE,Alinhamento da adesão dos novos projetos da UNAC previstos para o ciclo de Maio,,5 — Financeiro,5.3 Pagamentos,M004,SPRINT-004
,,,PORTAL FAPES - ADMIN,Escalonamento de Projetos — régua de prioridade para inclusão de editais no fluxo,ABRIL - JUNHO,Junho,,Planejado,FUNCIONALIDADE,Definição da régua de prioridade e datas para inclusão de outros editais e projetos no fluxo atual,,4 — Fomento Post-Award,4.0 Gestão de Iniciativas Captadas,M003,SPRINT-003
,,,PORTAL FAPES - ADMIN,Área de Conhecimento — correção da experiência de cadastro,ABRIL - JUNHO,Junho,,Planejado,MELHORIA,Área de conhecimento não está boa,,1 — Corporativo e Administrativo,1.3 Cadastros Básicos,—,SPRINT-004
,,,PORTAL FAPES - ADMIN,"Gestão Financeira e Contabil da agencia de fomento sobre editais, projetos e programas (Fluxo de Caixa)",ABRIL - JUNHO,Junho,,Planejado,FUNCIONALIDADE,Entender e projetar um módulo de gestão financeira e contabil da fapes,,5 — Financeiro,5.1 Contabilidade / 5.2 Financeiro,—,SPRINT-005
,,,CONECTA FAPES,Criar um sustentação e processo,ABRIL - JUNHO,Junho,,Planejado,,,6 — Suporte e Inteligência,6.3 Comunicação,—,SPRINT-006
,,,CONECTA FAPES,Desenvolver consultas sobre as Finanças do Projeto,ABRIL - JUNHO,Abril,,Planejado,FUNCIONALIDADE,"Relacionar contas contabeis, com projetos, editais e programas",,5 — Financeiro,5.2 Financeiro,—,SPRINT-005
,,,CONECTA FAPES,Gestão de Planejamento Estratégico,ABRIL - JUNHO,Junho,,Planejado,,,2 — Planejamento e Estratégia,2.1 Planejamento Estratégico,—,SPRINT-005
,,,CONECTA FAPES,Gestão de Programas,ABRIL - JUNHO,Junho,Leticia,Em Andamento,,,2 — Planejamento e Estratégia,2.3 Gestão de Programa,—,SPRINT-005
,,,CONECTA FAPES,Ajustes relacionados ao V1 da prestação de Contas Financeira,ABRIL - JUNHO,Junho,,Planejado,MELHORIA,,,4 — Fomento Post-Award,4.4 Prestação de Contas,—,SPRINT-005
,,,CONECTA FAPES,Produtar/Iniciar desenvolvimento da Prestação de Contas Técnica,ABRIL - JUNHO,Junho,,Planejado,FUNCIONALIDADE,"Entender o Escopo, planejar e iniciar o desenvolvimento da Prestação de Contas Técnica",,4 — Fomento Post-Award,4.2 Gestão de Resultados,—,SPRINT-005
,,,CONECTA FAPES,Colocar em Produção o Portal do Coordenador,ABRIL - JUNHO,Maio,,Planejado,IMPLANTAÇÃO,Pre-Requisito: Importar todos os editais e cotas de projetos ativos,,1 — Corporativo e Administrativo,1.1 Acesso e Segurança (IAM),M005,SPRINT-001
,,,CONECTA FAPES,Testar a Gestão de Iniciativas Captadas e Novos Projetos com usuários de Teste,ABRIL - JUNHO,Maio,,Planejado,TESTE,,,4 — Fomento Post-Award,4.0 Gestão de Iniciativas Captadas,M003,SPRINT-003
,,,CONECTA FAPES,Fluxo de Chamados NUTIC — workflow de abertura e triagem de chamados técnicos,ABRIL - JUNHO,Junho,,Planejado,FUNCIONALIDADE,Estabelecer o workflow de abertura e triagem de chamados técnicos via NUTIC,,6 — Suporte e Inteligência,6.3 Comunicação,—,SPRINT-006
,,,CONECTA FAPES,Proposta de declaração — exibir ao coordenador quando houver modelo disponível,ABRIL - JUNHO,Junho,,Planejado,OPORTUNIDADE,Verificar a possibilidade de disponibilizar proposta de declaração quando tiver modelo,,4 — Fomento Post-Award,4.4 Prestação de Contas,—,SPRINT-005
,,,PORTAL FAPES - COORDENADOR,Prorrogação de Vigência — extensão do período das bolsas conforme parametrização do edital,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Coordenador — Eduardo,,4 — Fomento Post-Award,4.5 Gestão de Bolsistas de Equipe,M009,SPRINT-002
,,,PORTAL FAPES - COORDENADOR,Prorrogação de Janela de Solicitação — prazos excepcionais por edital projeto ou coordenador,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Coordenador — Eduardo,,3 — Fomento Pre-Award,3.1 Configuração da Captação,—,SPRINT-002
,,,PORTAL FAPES - COORDENADOR,Gestão de Aditivos — alterações de valores prazos escopo e substituição de coordenação,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Coordenador — Eduardo,,4 — Fomento Post-Award,4.3 Gestão Orçamentária do Projeto,—,SPRINT-001
,,,PORTAL FAPES - COORDENADOR,Suspensão de Bolsa — interrupção temporária do pagamento e das atividades do bolsista,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Coordenador — Eduardo,,4 — Fomento Post-Award,4.6 Suspensão e Finalização,M009,SPRINT-001
,,,PORTAL FAPES - COORDENADOR,Ajuste Fluxo de Submissão — bloqueio de envio à agencia de fomento quando há pendências documentais,ABRIL - JUNHO,Junho,Eduardo,Planejado,MELHORIA,Área Coordenador — Eduardo. O sistema deixará explícito que a análise só ocorrerá após entrega completa dos documentos.,,4 — Fomento Post-Award,4.4 Prestação de Contas,—,SPRINT-002
,,,PORTAL FAPES - COORDENADOR,Controle de Reenvio (Reavaliação) — prazo mínimo de 24h para reenvio após recusa,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Coordenador — Eduardo. Ao recusar um arquivo o avaliador poderá definir uma data limite para o reenvio.,,4 — Fomento Post-Award,4.4 Prestação de Contas,—,SPRINT-003
,,,PORTAL FAPES - COORDENADOR,Validação de documentos por IA,ABRIL - JUNHO,Junho,Eduardo,Planejado,FUNCIONALIDADE,Área Coordenador — Eduardo,,4 — Fomento Post-Award,4.4 Prestação de Contas,—,SPRINT-003
,,,PORTAL FAPES - COORDENADOR,Minha Equipe — melhorar títulos da tela,ABRIL - JUNHO,Junho,,Planejado,MELHORIA,Na tela minha equipe melhorar os títulos,,4 — Fomento Post-Award,4.5 Gestão de Bolsistas de Equipe,M009,SPRINT-003
,,,VALIDA,Iniciar o processo de teste com usuários pilotos em ambiente controlado,ABRIL - JUNHO,Maio,,Planejado,IMPLANTAÇÃO,Estudar como realizar isso,,5 — Financeiro,5.4 PLD (KYC),—,SPRINT-002
,,,VALIDA,Melhorias e Novas features,ABRIL - JUNHO,Setembro,,Planejado,OPORTUNIDADE,,,5 — Financeiro,5.4 PLD (KYC),—,TBD
,,,PORTAL FAPES - ADMIN,Finalização Desenvolvimento e Implantação da Gestão de Iniciativas Captadas,JULHO - SETEMBRO,Setembro,,Planejado,FUNCIONALIDADE,,,4 — Fomento Post-Award,4.0 Gestão de Iniciativas Captadas,M003,TBD
,,,PORTAL FAPES - ADMIN,Desenvolvimento do módulo de gestão financeira e contábil,JULHO - SETEMBRO,Setembro,,Planejado,FUNCIONALIDADE,,,5 — Financeiro,5.1 Contabilidade / 5.2 Financeiro,—,TBD
,,,CONECTA FAPES,"Melhorias, Monitoramento e Levantamento de Novas Demandas",OUTUBRO-DEZEMBRO,Novembro,,Planejado,OPORTUNIDADE,,,6 — Suporte e Inteligência,6.1 Business Intelligence,—,TBD
